Row,NumGoodAlgos
1,4
2,4
3,3
4,4
5,4
6,4
7,0
8,1
9,4
10,0
11,4
12,4
13,3
14,4
15,4
16,1
17,1
18,0
19,4
20,1
21,1
22,3
23,4
24,1
25,4
26,2
27,4
28,4
29,3
30,1
31,1
32,4
33,4
34,4
35,0
36,4
37,0
38,3
39,0
40,3
41,0
42,0
43,4
44,4
45,0
46,4
47,0
48,4
49,2
50,4
51,4
52,4
53,4
54,4
55,0
56,4
57,4
58,4
59,0
60,4
61,4
62,2
63,4
64,4
65,0
66,4
67,0
68,0
69,4
70,4
71,0
72,0
73,3
74,4
75,4
76,4
77,4
78,4
79,4
80,4
81,4
82,4
83,4
84,4
85,4
86,4
87,3
88,4
89,2
90,4
91,4
92,1
93,4
94,0
95,4
96,0
97,4
98,4
99,4
100,2
101,4
102,4
103,4
104,4
105,4
106,4
107,4
108,1
109,4
110,0
111,3
112,4
113,4
114,4
115,4
116,4
117,4
118,3
119,4
120,4
121,4
122,4
123,4
124,4
125,0
126,1
127,0
128,4
129,1
130,0
131,4
132,4
133,4
134,4
135,4
136,2
137,4
138,4
139,1
140,4
141,4
142,3
143,4
144,1
145,2
146,4
147,4
148,3
149,0
150,4
151,3
152,4
153,4
154,3
155,4
156,4
157,4
158,4
159,4
160,4
161,3
162,4
163,4
164,4
165,3
166,2
167,1
168,2
169,4
170,4
171,0
172,4
173,4
174,4
175,4
176,4
177,4
178,3
179,0
180,4
181,4
182,3
183,4
184,4
185,2
186,4
187,4
188,4
189,2
190,1
191,4
192,0
193,4
194,4
195,4
196,3
197,4
198,0
199,0
200,0
201,4
202,1
203,4
204,4
205,0
206,4
207,4
208,4
209,4
210,4
211,4
212,0
213,0
214,3
215,3
216,4
217,0
218,1
219,0
220,1
221,4
222,4
223,3
224,0
225,4
226,4
227,4
228,4
229,0
230,3
231,2
232,3
233,4
234,1
235,4
236,4
237,4
238,4
239,4
240,4
241,4
242,4
243,0
244,1
245,0
246,4
247,0
248,0
249,0
250,4
251,4
252,4
253,4
254,4
255,1
256,0
257,2
258,4
259,1
260,4
261,0
262,4
263,4
264,2
265,2
266,4
267,4
268,2
269,4
270,0
271,1
272,4
273,4
274,4
275,1
276,4
277,0
278,4
279,4
280,4
281,4
282,1
283,1
284,4
285,0
286,3
287,0
288,1
289,4
290,4
291,4
292,0
293,4
294,1
295,1
296,0
297,0
298,4
299,4
300,3
301,4
302,1
303,4
304,2
305,4
306,4
307,4
308,4
309,2
310,4
311,4
312,4
313,0
314,3
315,3
316,4
317,4
318,4
319,4
320,1
321,2
322,0
323,0
324,3
325,4
326,4
327,2
328,0
329,0
330,3
331,3
332,4
333,4
334,4
335,4
336,0
337,0
338,3
339,4
340,4
341,4
342,4
343,4
344,0
345,3
346,0
347,4
348,4
349,4
350,0
351,4
352,1
353,4
354,4
355,4
356,3
357,3
358,4
359,3
360,4
361,4
362,0
363,4
364,2
365,0
366,4
367,0
368,4
369,4
370,2
371,4
