Row,Best_Algorithm
1,2
2,4
3,4
4,2
5,4
6,1
7,4
8,3
9,4
10,1
11,1
12,3
13,2
14,2
15,2
16,2
17,1
18,2
19,3
20,1
21,1
22,2
23,4
24,2
25,3
26,1
27,3
28,2
29,1
30,4
31,2
32,1
33,1
34,2
35,4
36,1
37,2
38,2
39,4
40,4
41,4
42,2
43,2
44,4
45,3
46,2
47,4
48,3
49,4
50,3
51,2
52,1
53,3
54,4
55,4
56,3
57,1
58,2
59,1
60,3
61,4
62,1
63,4
64,3
65,1
66,1
67,1
68,3
69,3
70,3
71,4
72,4
73,4
74,2
75,1
76,4
77,1
78,3
79,3
80,1
81,3
82,4
83,1
84,1
85,2
86,3
87,3
88,3
89,4
90,3
91,3
92,4
93,3
94,4
95,2
96,4
97,1
98,2
99,3
100,1
101,2
102,3
103,1
104,3
105,1
106,1
107,2
108,2
109,1
110,4
111,2
112,3
113,4
114,3
115,2
116,2
117,2
118,3
119,3
120,3
121,2
122,2
123,3
124,2
125,2
126,4
127,3
128,1
129,1
130,4
131,2
132,4
133,2
134,2
135,2
136,4
137,3
138,3
139,4
140,2
141,1
142,1
143,1
144,4
145,2
146,4
147,2
148,2
149,4
150,3
151,1
152,1
153,4
154,2
155,4
156,4
157,3
158,2
159,3
160,4
161,1
162,3
163,2
164,3
165,2
166,3
167,1
168,4
169,4
170,2
171,2
172,1
173,1
174,3
175,4
176,2
177,1
178,4
179,3
180,2
181,2
182,4
183,4
184,4
185,2
186,4
187,2
188,1
189,3
190,2
191,3
192,4
193,3
194,4
195,2
196,1
197,3
198,4
199,4
200,4
201,4
202,2
203,4
204,3
205,3
206,1
207,4
208,2
209,2
210,1
211,3
212,4
213,1
214,1
215,1
216,4
217,4
218,4
219,4
220,2
221,4
222,2
223,1
224,1
225,1
226,2
227,4
228,4
229,2
230,2
231,4
232,4
233,2
234,4
235,3
236,1
237,4
238,2
239,2
240,3
241,2
242,2
243,4
244,4
245,4
246,4
247,4
248,3
249,4
250,2
251,1
252,1
253,2
254,2
255,4
256,4
257,4
258,3
259,3
260,2
261,2
262,2
263,3
264,2
265,1
266,3
267,2
268,2
269,2
270,2
271,4
272,2
273,3
274,2
275,1
276,2
277,4
278,3
279,1
280,2
281,1
282,2
283,2
284,4
285,2
286,1
287,4
288,4
289,2
290,3
291,2
292,4
293,2
294,4
295,3
296,2
297,3
298,2
299,4
300,1
301,3
302,4
303,1
304,4
305,3
306,1
307,4
308,2
309,3
310,1
311,2
312,3
313,4
314,3
315,1
316,1
317,3
318,3
319,1
320,4
321,3
322,4
323,2
324,4
325,2
326,3
327,3
328,3
329,4
330,4
331,1
332,3
333,4
334,2
335,3
336,1
337,4
338,3
339,3
340,3
341,2
342,2
343,4
344,4
345,1
346,1
347,3
348,3
349,1
350,3
351,3
352,4
353,4
354,3
355,1
356,4
357,2
358,4
359,2
360,1
361,2
362,2
363,2
364,4
365,4
366,1
367,3
368,3
369,2
370,3
371,4
372,2
373,3
374,1
375,4
376,4
377,2
378,3
379,1
380,2
381,1
382,3
383,3
384,3
385,1
386,3
387,1
388,4
389,1
390,4
391,4
392,4
393,2
394,1
395,2
396,1
397,3
398,4
399,1
400,2
401,2
402,1
403,4
404,3
405,4
406,1
407,1
408,1
409,4
410,4
411,1
412,2
413,1
414,3
415,2
416,2
417,3
418,1
419,2
420,4
421,3
422,2
423,2
424,3
425,1
426,4
427,4
428,3
429,1
430,2
431,3
432,2
433,3
434,2
435,2
436,3
437,1
438,4
439,2
440,3
441,2
442,3
443,1
444,1
445,4
446,4
447,3
448,3
449,4
450,3
451,2
452,3
453,3
454,3
455,1
456,4
457,1
458,3
459,4
460,1
461,3
462,4
463,1
464,4
465,2
466,2
467,4
468,1
469,2
470,1
471,2
472,2
473,3
474,4
475,3
476,1
477,3
478,1
479,3
480,1
481,1
482,2
483,3
484,4
485,2
486,2
487,3
488,4
489,3
490,2
491,1
492,3
493,1
494,2
495,4
496,2
497,2
498,3
499,4
500,2
501,2
502,3
503,2
504,1
505,2
506,1
507,1
508,3
509,3
510,3
511,4
512,3
513,2
514,3
515,2
516,1
517,3
518,2
519,1
520,2
521,4
522,1
523,4
524,1
525,3
526,1
527,2
528,1
529,1
530,1
531,3
532,3
533,2
534,3
535,3
536,2
537,2
538,4
539,1
540,1
541,1
542,1
543,4
544,2
545,1
546,2
547,4
548,4
549,4
550,1
551,3
552,3
553,2
554,2
555,3
556,3
557,1
558,2
559,1
560,2
561,4
562,1
563,3
564,3
565,1
566,2
567,1
568,1
569,2
570,1
571,1
572,2
573,3
574,3
575,1
576,3
577,1
578,4
579,1
580,4
581,4
582,2
583,3
584,1
585,3
586,2
587,4
588,1
589,4
590,4
591,4
592,2
593,3
594,3
595,4
596,1
597,4
598,3
599,4
600,1
601,3
602,2
603,3
604,3
605,4
606,3
607,4
608,2
609,2
610,3
611,1
612,2
613,2
614,3
615,3
616,3
617,4
618,2
619,2
620,4
621,3
622,2
623,2
624,3
625,1
626,3
627,1
628,4
629,1
630,2
631,1
632,2
633,3
634,2
635,2
636,4
637,1
638,3
639,4
640,3
641,4
642,4
643,4
644,3
645,3
646,4
647,1
648,2
649,4
650,2
651,3
652,1
653,3
654,2
655,2
656,4
657,3
658,4
659,1
660,2
661,1
662,4
663,3
664,3
665,4
666,3
667,4
668,4
669,1
670,3
671,4
672,3
673,3
674,3
675,3
676,2
677,4
678,4
679,4
680,3
681,3
682,2
683,3
684,2
685,3
686,1
687,1
688,3
689,1
690,3
691,3
692,4
693,3
694,3
695,3
696,1
697,3
698,2
699,3
700,3
701,1
702,2
703,3
704,1
705,2
706,2
707,2
708,2
709,4
710,4
711,3
712,4
713,4
714,2
715,1
716,4
717,2
718,2
719,1
720,4
721,3
722,3
723,3
724,2
725,4
726,2
727,1
728,1
729,3
730,3
731,1
732,4
733,4
734,1
735,3
736,1
737,2
738,1
739,3
740,2
741,4
742,3
743,3
744,4
745,1
746,4
747,4
748,3
749,2
750,4
751,4
752,3
753,1
754,4
755,1
756,1
757,4
758,1
759,3
760,4
761,2
762,4
763,3
764,2
765,1
766,3
767,1
768,2
