Row,Best_Algorithm
1,1
2,1
3,4
4,3
5,4
6,3
7,4
8,2
9,4
10,2
11,2
12,3
13,2
14,3
15,3
16,2
17,2
18,2
19,3
20,1
21,1
22,2
23,4
24,2
25,4
26,4
27,3
28,3
29,1
30,4
31,1
32,2
33,3
34,2
35,4
36,3
37,4
38,1
39,4
40,4
41,2
42,2
43,2
44,4
45,1
46,4
47,4
48,3
49,2
50,3
51,3
52,3
53,1
54,4
55,4
56,3
57,3
58,1
59,2
60,3
61,4
62,3
63,4
64,3
65,1
66,1
67,3
68,4
69,3
70,2
71,4
72,3
73,4
74,1
75,3
76,4
77,3
78,3
79,2
80,3
81,3
82,4
83,3
84,3
85,2
86,1
87,1
88,3
89,4
90,3
91,3
92,4
93,2
94,4
95,2
96,1
97,3
98,3
99,3
100,4
101,3
102,3
103,3
104,3
105,1
106,3
107,2
108,1
109,1
110,4
111,4
112,3
113,3
114,3
115,3
116,2
117,1
118,3
119,3
120,3
121,4
122,3
123,3
124,2
125,2
126,4
127,3
128,3
129,3
130,4
131,3
132,1
133,1
134,2
135,3
136,4
137,3
138,3
139,3
140,3
141,2
142,3
143,3
144,4
145,1
146,4
147,1
148,4
149,4
150,2
151,1
152,3
153,1
154,2
155,4
156,4
157,3
158,3
159,3
160,4
161,3
162,3
163,2
164,3
165,1
166,1
167,3
168,4
169,3
170,3
171,4
172,3
173,3
174,3
175,1
176,4
177,1
178,4
179,2
180,1
181,2
182,1
183,4
184,2
185,3
186,4
187,2
188,1
189,1
190,1
191,3
192,4
193,1
194,4
195,3
196,1
197,3
198,4
199,4
200,4
201,4
202,2
203,3
204,3
205,2
206,3
207,4
208,1
209,3
210,1
211,3
212,4
213,1
214,1
215,2
216,4
217,2
218,4
219,2
220,1
221,4
222,3
223,3
224,1
225,3
226,4
227,3
228,1
229,1
230,3
231,4
232,2
233,3
234,3
235,3
236,3
237,4
238,4
239,2
240,3
241,3
242,3
243,4
244,4
245,4
246,4
247,4
248,3
249,4
250,3
251,1
252,3
253,3
254,3
255,4
256,2
257,4
258,3
259,1
260,4
261,1
262,3
263,3
264,2
265,1
266,3
267,1
268,3
269,2
270,2
271,4
272,3
273,3
274,3
275,3
276,3
277,4
278,3
279,1
280,3
281,1
282,1
283,2
284,2
285,2
286,1
287,4
288,4
289,3
290,3
291,3
292,4
293,3
294,4
295,3
296,2
297,1
298,1
299,3
300,3
301,1
302,1
303,3
304,4
305,4
306,3
307,4
308,3
309,2
310,1
311,1
312,1
313,4
314,3
315,1
316,3
317,3
318,1
319,3
320,4
321,3
322,2
323,4
324,4
325,1
326,3
327,4
328,2
329,4
330,3
331,2
332,3
333,4
334,3
335,3
336,3
337,4
338,1
339,3
340,3
341,3
342,3
343,4
344,1
345,3
346,2
347,1
348,3
349,3
350,2
351,3
352,4
353,4
354,3
355,1
356,4
357,2
358,4
359,1
360,1
361,3
362,3
363,1
364,4
365,4
366,1
367,1
368,3
369,2
370,2
371,4
372,3
373,3
374,3
375,4
376,3
377,3
378,3
379,3
380,1
381,1
382,3
383,3
384,3
385,3
386,3
387,1
388,4
389,3
390,4
391,4
392,4
393,3
394,3
395,1
396,3
397,3
398,4
399,3
400,4
401,2
402,3
403,4
404,1
405,4
406,3
407,1
408,3
409,4
410,1
411,3
412,1
413,1
414,3
415,2
416,1
417,3
418,1
419,3
420,4
421,3
422,3
423,3
424,1
425,3
426,3
427,4
428,3
429,2
430,2
431,3
432,1
433,3
434,3
435,3
436,3
437,2
438,4
439,3
440,4
441,1
442,3
443,3
444,1
445,1
446,4
447,3
448,1
449,4
450,1
451,3
452,2
453,1
454,3
455,3
456,4
457,1
458,3
459,4
460,1
461,3
462,3
463,1
464,1
465,2
466,3
467,3
468,1
469,4
470,2
471,2
472,3
473,1
474,4
475,3
476,3
477,3
478,3
479,3
480,2
481,3
482,3
483,2
484,4
485,3
486,3
487,1
488,2
489,3
490,1
491,3
492,3
493,3
494,1
495,4
496,3
497,1
498,3
499,4
500,1
501,2
502,3
503,2
504,3
505,3
506,3
507,1
508,3
509,3
510,3
511,4
512,3
513,2
514,3
515,3
516,1
517,3
518,4
519,1
520,3
521,3
522,4
523,4
524,1
525,1
526,3
527,3
528,3
529,3
530,3
531,3
532,3
533,2
534,3
535,3
536,2
537,3
538,3
539,1
540,3
541,3
542,4
543,4
544,2
545,3
546,3
547,4
548,4
549,2
550,3
551,3
552,3
553,2
554,3
555,1
556,3
557,3
558,2
559,1
560,1
561,4
562,1
563,3
564,3
565,1
566,2
567,3
568,1
569,4
570,1
571,4
572,3
573,3
574,3
575,1
576,3
577,1
578,4
579,3
580,4
581,4
582,3
583,1
584,1
585,3
586,3
587,4
588,3
589,4
590,4
591,4
592,2
593,3
594,2
595,4
596,1
597,4
598,3
599,4
600,3
